
//Trainer Kit NPC -- Vende cosas para ayudar a levelear
// token /*,7137:10000,678:20000,7136:30000,7135:30000,7139:30000*/
//itemmall,179,61,4	shop	Bottles	561,501:50,506:40,502:200,503:550,645:800,504:1200,656:1500,505:5000,12119:6000,12120:6000,12121:6000,12118:6000,7137:1000000,678:2000000,7136:3000000,7135:3000000,7139:3000000
itemmall,179,61,4	shop	Bottles	561,501:50,506:40,502:200,503:550,657:3000,645:800,504:1200,656:1500,505:5000,12119:6000,12120:6000,12121:6000,12118:6000
itemmall,176,62,4	shop	Arrows		627,1750:-1,1766:-1,1767:-1,1755:-1,1754:-1,1761:-1,1752:-1,1760:-1,1759:-1,1757:-1
itemmall,192,64,2	shop	Swords-1	650,1104:1500,1107:2900,1126:49000,1123:50000,1119:51000,1131:100000
itemmall,192,71,2	shop	Swords-2	685,1116:2000,1154:22500,1157:60000,1160:65000,1163:70000,1167:100000
itemmall,168,64,4	shop	Axes-1		681,1301:500,1351:5400,1305:100000,1306:1000000,1307:1000000
itemmall,168,71,4	shop	Axes-2		813,1351:5400,1363:6000
itemmall,167,80,4	shop	Maces		450,1501:120,1504:1600,1507:9000,1510:16000,1520:23000,1513:41000,1523:50000,1524:100000
itemmall,173,84,4	shop	Staffs		792,1601:50,1609:9500,1621:43000,1610:45000,1616:50000,2004:100000,1473:2000000
itemmall,177,84,4	shop	Knuckle		411,1801:8000,1814:20000,1812:58000,1809:67000,1813:3000000
itemmall,180,84,4	shop	Instruments	647,1901:4000,1914:100000,1917:100000,1916:100000
itemmall,175,72,4	shop	Whips		552,1971:40000,1967:40000,1966:40000,1965:40000
itemmall,179,76,4	shop	Katars		730,1254:37200,1251:19500,1252:41000,1256:45000,1259:45000,1257:45000,1258:45000
itemmall,184,72,4	shop	Books		57,1553:50000,1556:50000,1554:50000,1555:50000
itemmall,179,67,4	shop	Armors		404,2305:1000,2314:65000,2309:22000,2325:54000,2335:-1,2316:80000,2327:80000,2341:94000,2348:136000,2350:136000,2344:136000,2346:136000
itemmall,168,58,4	shop	Bows		634,1713:48000,1701:1000,1704:2500,1710:17000,1716:42000,1707:10000
itemmall,191,79,2	shop	Spear-1		540,1401:150,1404:1700,1407:3450,1417:100000
itemmall,186,83,2	shop	Spear-2		966,1451:13000,1456:20000,1458:27000,1463:54000,1411:60000,1466:100000,1478:100000,1468:1000000,1471:1000000
itemmall,183,62,4	shop	Gemstone	583,717:600,716:600,715:600,7524:300,7523:150,7522:150,7521:150
itemmall,173,78,4	shop	Guns		633,13155:32000,13150:3000,13158:130000,13102:20000,13151:17500,13160:110000,13104:48000
itemmall,184,67,2	shop	Ammo		632,13202:200,13200:200,13201:200,13256:200,13259:200,13258:200,13294:100,13257:200,13255:200,13252:200,13251:200,13253:200,13250:200,13254:200,6512:100,6513:100,6514:100,6515:100,6493:30
itemmall,173,65,4	shop	Garment	638,2501:1000,2503:5000,2505:32000,2512:50000
itemmall,186,65,2	shop	Shield		925,2101:500,2103:14000,2105:56000,2107:60000,2113:5000,2117:10000
itemmall,175,76,4	shop	Footgears	531,2401:400,2403:3500,2405:18000,2411:48000,2416:35000
itemmall,193,57,2	shop	Paints		482,6121:10000,6123:200,6120:120
itemmall,184,76,4	shop	Accessory	651,2609:10000,2612:1500,2613:45000,2627:20000,2628:400,2608:15000
itemmall,187,57,4	shop	Poison Kit	467,7931:100000
//itemmall,75,67,4	shop	Headgear	508,2208:900,2211:500,2216:9000,2220:1000,2222:4500,2226:12000,2228:44000,2230:50000,2232:7500,5114:6000

//Warps hacia la tienda
titans,106,212,0	warp	malldoor	1,1,itemmall,179,53
itemmall,179,49,0	warp	mallexit	1,1,titans,108,210
